prompt_index,prompt,model_name,difficulty,category,tech_stack,module_tags
1,"在src/services/requisition_service.rs中实现领用审批流：当前create_requisition方法直接扣减库存，没有审批环节。请改为两步流程：创建领用单时状态为""待审批""且不扣减库存，管理员审批通过后才执行库存扣减。需要修改Requisition结构体添加status字段，新增approve_requisition方法（使用rusqlite事务保证审批状态更新和库存扣减的原子性），拒绝时恢复预留库存",gpt-5.4,困难,代码生成,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
1,"在src/services/requisition_service.rs中实现领用审批流：当前create_requisition方法直接扣减库存，没有审批环节。请改为两步流程：创建领用单时状态为""待审批""且不扣减库存，管理员审批通过后才执行库存扣减。需要修改Requisition结构体添加status字段，新增approve_requisition方法（使用rusqlite事务保证审批状态更新和库存扣减的原子性），拒绝时恢复预留库存",gemini-3.1-p,困难,代码生成,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
1,"在src/services/requisition_service.rs中实现领用审批流：当前create_requisition方法直接扣减库存，没有审批环节。请改为两步流程：创建领用单时状态为""待审批""且不扣减库存，管理员审批通过后才执行库存扣减。需要修改Requisition结构体添加status字段，新增approve_requisition方法（使用rusqlite事务保证审批状态更新和库存扣减的原子性），拒绝时恢复预留库存",DeepSeek-V4-Pro,困难,代码生成,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
1,"在src/services/requisition_service.rs中实现领用审批流：当前create_requisition方法直接扣减库存，没有审批环节。请改为两步流程：创建领用单时状态为""待审批""且不扣减库存，管理员审批通过后才执行库存扣减。需要修改Requisition结构体添加status字段，新增approve_requisition方法（使用rusqlite事务保证审批状态更新和库存扣减的原子性），拒绝时恢复预留库存",Doubao-Seed-2.0-Code,困难,代码生成,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
1,"在src/services/requisition_service.rs中实现领用审批流：当前create_requisition方法直接扣减库存，没有审批环节。请改为两步流程：创建领用单时状态为""待审批""且不扣减库存，管理员审批通过后才执行库存扣减。需要修改Requisition结构体添加status字段，新增approve_requisition方法（使用rusqlite事务保证审批状态更新和库存扣减的原子性），拒绝时恢复预留库存",GLM-5.1,困难,代码生成,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
2,src/services/scrap_service.rs的create_scrap方法存在Bug：扣减库存时未校验scrap_quantity<=material.stock_quantity，可能导致库存变为负数。此外，边角料处置记录未关联处置原因分类（报废/回收/捐赠），无法进行后续统计分析。请修复库存校验，同时给scraps表新增reason_category字段（ALTER TABLE），修改create.html添加原因分类下拉框,gpt-5.4,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
2,src/services/scrap_service.rs的create_scrap方法存在Bug：扣减库存时未校验scrap_quantity<=material.stock_quantity，可能导致库存变为负数。此外，边角料处置记录未关联处置原因分类（报废/回收/捐赠），无法进行后续统计分析。请修复库存校验，同时给scraps表新增reason_category字段（ALTER TABLE），修改create.html添加原因分类下拉框,gemini-3.1-p,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
2,src/services/scrap_service.rs的create_scrap方法存在Bug：扣减库存时未校验scrap_quantity<=material.stock_quantity，可能导致库存变为负数。此外，边角料处置记录未关联处置原因分类（报废/回收/捐赠），无法进行后续统计分析。请修复库存校验，同时给scraps表新增reason_category字段（ALTER TABLE），修改create.html添加原因分类下拉框,DeepSeek-V4-Pro,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
2,src/services/scrap_service.rs的create_scrap方法存在Bug：扣减库存时未校验scrap_quantity<=material.stock_quantity，可能导致库存变为负数。此外，边角料处置记录未关联处置原因分类（报废/回收/捐赠），无法进行后续统计分析。请修复库存校验，同时给scraps表新增reason_category字段（ALTER TABLE），修改create.html添加原因分类下拉框,Doubao-Seed-2.0-Code,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
2,src/services/scrap_service.rs的create_scrap方法存在Bug：扣减库存时未校验scrap_quantity<=material.stock_quantity，可能导致库存变为负数。此外，边角料处置记录未关联处置原因分类（报废/回收/捐赠），无法进行后续统计分析。请修复库存校验，同时给scraps表新增reason_category字段（ALTER TABLE），修改create.html添加原因分类下拉框,Qwen3.6-Plus,困难,Bug 修复 / 调试,"Rust,Axum,SQLite,Tera","原料入厂,生产领用,边角料处置,库存预警,供应商对账"
